,username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
642,RajniRethesh,fayedsouza,We are facing the same issue with MSEB. We have been paying every month. The reason they are giving is that since everyone was at home during lockdown the usage must have been high. That itself is a bluff from their end as we both have been working from home since ages.,0,0,0,1277678163930132480,https://twitter.com/RajniRethesh/status/1277678163930132480,1690215128,2020-06-29 18:59:47+00:00,Mon Jun 29 18:59:47 +0000 2020,,,,
643,indiantrad,BBCHindi,Lockdown,0,0,0,1277678151707942912,https://twitter.com/indiantrad/status/1277678151707942912,779907679,2020-06-29 18:59:44+00:00,Mon Jun 29 18:59:44 +0000 2020,,,,
644,_littel_boy,PMOIndia,#Lockdown or #Unlock-2 ? Unlocking is already in process and no. of new cases r increasing...... If our honorable PM is going to speak on #coronavirus it may be new #Lockdown........ Just a guess.......,0,0,0,1277678077837901824,https://twitter.com/_littel_boy/status/1277678077837901824,2648773328,2020-06-29 18:59:26+00:00,Mon Jun 29 18:59:26 +0000 2020,#Lockdown #Unlock #coronavirus #Lockdown,,,
645,iamSuvMohanty,VishalDadlani,I think lockdown is really hitting hard on bollywood musicians brain. They desperately need some music to work on or else we might end up having more PM candidates.,1,11,0,1277678047727161346,https://twitter.com/iamSuvMohanty/status/1277678047727161346,813712037305950208,2020-06-29 18:59:19+00:00,Mon Jun 29 18:59:19 +0000 2020,,,,
646,Preet45Gautam,knockknockhell,Don't watch any of the Bollywood movie which all star kid and star. These stars are senior most people which they should have some responsibility to support struggling actors. What is this rubbish what ananya pandey is doing in lockdown how it's supposed to to relate to tell ppl,0,0,0,1277678036847144965,https://twitter.com/Preet45Gautam/status/1277678036847144965,515432563,2020-06-29 18:59:16+00:00,Mon Jun 29 18:59:16 +0000 2020,,,,
647,masala_shai,,I love how eyebrows were such a big problem at the beginning of the lockdown and now they continue to be such a big problem.,0,2,1,1277678004773126144,https://twitter.com/masala_shai/status/1277678004773126144,87902849,2020-06-29 18:59:09+00:00,Mon Jun 29 18:59:09 +0000 2020,,,,
648,rani_khyati,,Yahan #unlock2 hone wala tha par yahan toh lockdown of #TikTok and #onlinebeauty ka ho gaya #tiktokbanindia #nophotowonder,0,3,0,1277677991850471424,https://twitter.com/rani_khyati/status/1277677991850471424,1267782433765830662,2020-06-29 18:59:06+00:00,Mon Jun 29 18:59:06 +0000 2020,#unlock2 #TikTok #onlinebeauty #tiktokbanindia #nophotowonder,,,
649,ushanigam2000,taapsee,"For the lockdown, no body has gone out . We are constantly inside 24by7 using acs n what not. Earlier we were out for 2/3 of the day. Isiliye bill zayada hai ",0,0,0,1277677911495995392,https://twitter.com/ushanigam2000/status/1277677911495995392,31403837,2020-06-29 18:58:46+00:00,Mon Jun 29 18:58:46 +0000 2020,,,,https://twitter.com/taapsee/status/1277136928584855554
650,ashish_deorah,SangmaConrad,"This region is Industrial Area of Meghalaya, any relief from sudden lockdown, impacting thousands of workers, shops and impacting economy of Meghalaya",0,0,0,1277677810056753153,https://twitter.com/ashish_deorah/status/1277677810056753153,2776829960,2020-06-29 18:58:22+00:00,Mon Jun 29 18:58:22 +0000 2020,,,,
651,MirsohailS,,"@ThaneCityPolice just read an article stating that there will be complete lockdown in thane for 10 days from 2nd of july, is it true? ",0,0,0,1277677748505374720,https://twitter.com/MirsohailS/status/1277677748505374720,2301470371,2020-06-29 18:58:08+00:00,Mon Jun 29 18:58:08 +0000 2020,,@ThaneCityPolice,,https://www.livemint.com/news/india/covid-19-complete-lockdown-in-thane-for-10-days-starting-2-july-11593434313596.html
652,manojmulik007,,#Wating for the LOCKDOWN 0.00000 with grt Hope n Greetings*** ,0,1,0,1277677681627107328,https://twitter.com/manojmulik007/status/1277677681627107328,993557461,2020-06-29 18:57:52+00:00,Mon Jun 29 18:57:52 +0000 2020,#Wating,,,
653,ps_puneetsharma,PIB_India,Lockdown continues in containment zones #lockdownextension #COVID19 #schoolsclosed #icaiexams @neerajarora91,0,1,0,1277677667559419904,https://twitter.com/ps_puneetsharma/status/1277677667559419904,2793367058,2020-06-29 18:57:48+00:00,Mon Jun 29 18:57:48 +0000 2020,#lockdownextension #COVID19 #schoolsclosed #icaiexams,@neerajarora91,,https://twitter.com/PIB_India/status/1277651443416096768
654,adv_amey,PanvelCorp,Lockdown need to implement again,0,0,0,1277677605966106624,https://twitter.com/adv_amey/status/1277677605966106624,831726003743395840,2020-06-29 18:57:34+00:00,Mon Jun 29 18:57:34 +0000 2020,,,,
655,avcvolley,,King of the Court returns as first post-lockdown international event. Read more: https://bit.ly/2YH18y0 #FIVB #AVC #BeachVolleyball #AVCVolley #AsianVolleyball #StayStrong #StayActive #StatHealthy,2,5,0,1277677600966496257,https://twitter.com/avcvolley/status/1277677600966496257,4575463992,2020-06-29 18:57:32+00:00,Mon Jun 29 18:57:32 +0000 2020,#FIVB #AVC #BeachVolleyball #AVCVolley #AsianVolleyball #StayStrong #StayActive #StatHealthy,,,https://bit.ly/2YH18y0
656,vinay8410,,Auto Exports EEPC: Auto exports slump 73% in May due to lockdown disruptions: EEPC India – Times of India ,0,0,0,1277677569744293890,https://twitter.com/vinay8410/status/1277677569744293890,3237565206,2020-06-29 18:57:25+00:00,Mon Jun 29 18:57:25 +0000 2020,,,,https://news.vkcorp84.com/blog/2020/06/30/auto-exports-eepc-auto-exports-slump-73-in-may-due-to-lockdown-disruptions-eepc-india-times-of-india/
657,ShoaibLakkundi,,"@CMofKarnataka @PMOIndia sir impose once again complete lockdown in country ,take back all kind of relaxation ASAP, and stop all the transportation services with immediate effect. We may earn money but we can't get back people lives.#lockdownextension #save people.",0,0,0,1277677558058725377,https://twitter.com/ShoaibLakkundi/status/1277677558058725377,3289493107,2020-06-29 18:57:22+00:00,Mon Jun 29 18:57:22 +0000 2020,#lockdownextension #save,@CMofKarnataka @PMOIndia,,
